teamplaceCodigo,nombre,destino,skuAnterior,skuNuevo
"N081111","BROCHE NEPACO",#FO-HER,#REV-TAN-0060,#FO-HER-0187
"N040253","GRILLETE-GUARDACABO NACIONAL",#FO-HER,#REV-TAN-0290,#FO-HER-0188
"N040205","ANCLA DOBLE HELICE GALVANIZADA NACIONAL",#FO-HER,#REV-TAN-0024,#FO-HER-0189
"N040527","BARRA DE ANCLAJE",#FO-HER,#REV-TAN-0037,#FO-HER-0190
"020058","NANO BEAM M5- 16DB NACIONAL",#RED-WIFI,#REV-TAN-0410,#RED-WIFI-0045
"N020052","UNIFI AP OUTDOOR",#RED-WIFI,#REV-TAN-0584,#RED-WIFI-0046
"N040225","AP CNPILOT E502S-11AC-30º",#RED-WIFI,#REV-TAN-0027,#RED-WIFI-0047
"N010725","DCN WL8200-X10 INDOOR AP",#RED-WIFI,#REV-TAN-0197,#RED-WIFI-0048
"N010421","FIREWALL DCFW 1800E N6008 - DCN",#RED-SW,#REV-TAN-0263,#RED-SW-0118
"N010501","DSLAN",#RED-DSL,#REV-TAN-0217,#RED-DSL-0001
"N010510","CHASIS MA5603 P/ADSL CON 5 PLACAS",#RED-DSL,#REV-TAN-0146,#RED-DSL-0002
"N040504","EQUIPO DE TRAMA TELEFONICA",#RED-TEL,#REV-TAN-0229,#RED-TEL-0001
"N040503","CENTRAL TELEFONICA ARRIS 2020",#RED-TEL,#REV-TAN-0140,#RED-TEL-0002
"N040333","TERMINAL TELEF. EMERGENCIA NACIONAL",#RED-TEL,#REV-TAN-0555,#RED-TEL-0003
"N060201","PLACA DE CONTESTADOR TELEFONICO",#RED-TEL,#REV-TAN-0470,#RED-TEL-0004
"N020212","CABLE TPR 2x1,5 NACIONAL",#ENE-CAB,#REV-TAN-0098,#ENE-CAB-0001
"N020546","CABLE TPR 2x 1mm NACIONAL",#ENE-CAB,#REV-TAN-0096,#ENE-CAB-0002
"N081154","CABLE TPR 3x1,5mm",#ENE-CAB,#REV-TAN-0100,#ENE-CAB-0003
"N081036","CABLE TPR 3x2,5mm",#ENE-CAB,#REV-TAN-0101,#ENE-CAB-0004
"N081214","CABLE TPR",#ENE-CAB,#REV-TAN-0094,#ENE-CAB-0005
"N020183","CABLE INTERLOCK P/C.M. DPQ3925 NACIONAL",#ENE-CAB,#REV-TAN-0086,#ENE-CAB-0006
